Day,Close,Open,High,Low,Volume
21/07/2025,26900.00,27000.00,27300.00,26900.00,14100
18/07/2025,26990.00,26800.00,27250.00,26600.00,82000
17/07/2025,26600.00,26600.00,26680.00,26430.00,100100
16/07/2025,26600.00,25860.00,26600.00,25860.00,24700
15/07/2025,26000.00,26260.00,26620.00,26000.00,126300
14/07/2025,26300.00,26150.00,26300.00,25940.00,306200
11/7/2025,26150.00,26000.00,26150.00,25950.00,48100
10/7/2025,25920.00,25860.00,26040.00,25850.00,26000
9/7/2025,25860.00,25500.00,26090.00,25500.00,91000
8/7/2025,25400.00,25420.00,25660.00,25170.00,49900
7/7/2025,25420.00,24950.00,25500.00,24950.00,30800
4/7/2025,24950.00,25000.00,25060.00,24900.00,104100
3/7/2025,24900.00,24600.00,25090.00,24600.00,57000
2/7/2025,24700.00,24600.00,24750.00,24600.00,15500
1/7/2025,24600.00,24700.00,24700.00,24400.00,13500
30/06/2025,24550.00,24500.00,24580.00,24450.00,48600
27/06/2025,24500.00,24500.00,24530.00,24410.00,16200
26/06/2025,24420.00,24450.00,24470.00,24300.00,15100
25/06/2025,24450.00,24550.00,24620.00,24450.00,46100
24/06/2025,24550.00,24490.00,24700.00,24490.00,16000
23/06/2025,24490.00,24490.00,24490.00,24150.00,7400
20/06/2025,24500.00,23950.00,24610.00,23800.00,66800
19/06/2025,23950.00,24210.00,24290.00,23950.00,53400
18/06/2025,23950.00,24300.00,24300.00,23950.00,545100
17/06/2025,24100.00,23950.00,24250.00,23950.00,175900
16/06/2025,23950.00,23490.00,23950.00,23210.00,20700
13/06/2025,23490.00,23380.00,23750.00,23300.00,67600
12/6/2025,23670.00,23690.00,23690.00,23400.00,21000
11/6/2025,23200.00,23190.00,23320.00,23190.00,3500
10/6/2025,23190.00,23220.00,23650.00,23190.00,188300
9/6/2025,23190.00,23690.00,23690.00,23030.00,34000
6/6/2025,23240.00,23450.00,23460.00,23240.00,100500
5/6/2025,23640.00,23500.00,23710.00,23460.00,13100
4/6/2025,23650.00,23500.00,23800.00,23500.00,36700
3/6/2025,23700.00,23800.00,23800.00,23600.00,21400
2/6/2025,23500.00,23480.00,23500.00,23150.00,76700
30/05/2025,23800.00,23950.00,23950.00,23600.00,16000
29/05/2025,23950.00,24150.00,24150.00,23660.00,27100
28/05/2025,24150.00,23990.00,24300.00,23590.00,97200
27/05/2025,24000.00,23910.00,24000.00,22320.00,196600
26/05/2025,24000.00,23000.00,24000.00,23000.00,272300
23/05/2025,23000.00,23500.00,23500.00,23000.00,627300
22/05/2025,23500.00,23480.00,23640.00,23000.00,210900
21/05/2025,23490.00,23600.00,23820.00,23490.00,40400
20/05/2025,23300.00,23070.00,23340.00,23010.00,53100
19/05/2025,23230.00,23360.00,23360.00,23000.00,44100
16/05/2025,23360.00,23300.00,23520.00,23290.00,112600
15/05/2025,23300.00,23200.00,23650.00,22800.00,127800
14/05/2025,23150.00,22790.00,23150.00,22790.00,182000
13/05/2025,22790.00,22800.00,22800.00,22600.00,210400
12/5/2025,22600.00,22300.00,22640.00,22230.00,341200
9/5/2025,22300.00,22380.00,22380.00,22050.00,78600
8/5/2025,22100.00,21930.00,22100.00,21900.00,50300
7/5/2025,21910.00,22020.00,22020.00,21770.00,13000
6/5/2025,21890.00,21890.00,22050.00,21800.00,67000
5/5/2025,21890.00,21830.00,22000.00,21730.00,36000
29/04/2025,21750.00,21640.00,21790.00,21500.00,18400
28/04/2025,21640.00,21700.00,21900.00,21490.00,8000
25/04/2025,21680.00,21770.00,21900.00,21560.00,18200
24/04/2025,21770.00,21800.00,21900.00,21000.00,332600
23/04/2025,21520.00,21600.00,21900.00,21000.00,11800
22/04/2025,21300.00,21800.00,21800.00,20800.00,117200
21/04/2025,21800.00,21610.00,22000.00,21600.00,123000
18/04/2025,21800.00,21650.00,22200.00,21650.00,26000
17/04/2025,21560.00,21420.00,21640.00,21420.00,29100
16/04/2025,21600.00,21800.00,21900.00,21580.00,327000
15/04/2025,21790.00,22900.00,22900.00,21700.00,75300
14/04/2025,22150.00,22010.00,22150.00,21870.00,188400
11/4/2025,22000.00,24380.00,24380.00,22000.00,237600
10/4/2025,22790.00,22790.00,22790.00,22000.00,164900
9/4/2025,21300.00,18770.00,21300.00,18770.00,278400
8/4/2025,20160.00,21670.00,21670.00,20160.00,210200
4/4/2025,21670.00,21300.00,21670.00,20310.00,178700
3/4/2025,21670.00,21690.00,22950.00,21670.00,324400
2/4/2025,23300.00,23300.00,23380.00,23240.00,572100
1/4/2025,23300.00,23410.00,23410.00,22950.00,90100
