Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
21/07/2025,"49,500.00","50,700.00","50,800.00","49,150.00",10.53M,-1.39%
18/07/2025,"50,200.00","48,000.00","50,500.00","47,400.00",26.07M,5.24%
17/07/2025,"47,700.00","48,050.00","48,400.00","47,600.00",9.05M,-0.21%
16/07/2025,"47,800.00","47,800.00","48,150.00","47,250.00",9.53M,0.21%
15/07/2025,"47,700.00","48,200.00","49,200.00","47,700.00",9.83M,-0.52%
14/07/2025,"47,950.00","47,750.00","48,100.00","47,200.00",8.66M,0.63%
11/7/2025,"47,650.00","47,800.00","48,500.00","47,350.00",10.78M,0.00%
10/7/2025,"47,650.00","47,900.00","47,900.00","47,250.00",8.38M,-0.31%
9/7/2025,"47,800.00","48,000.00","48,100.00","47,350.00",9.78M,0.31%
8/7/2025,"47,650.00","47,700.00","48,050.00","47,200.00",6.02M,0.21%
7/7/2025,"47,550.00","47,100.00","48,500.00","47,100.00",8.25M,1.06%
4/7/2025,"47,050.00","46,700.00","47,200.00","46,200.00",9.44M,0.86%
3/7/2025,"46,650.00","47,400.00","47,700.00","46,400.00",14.99M,-1.89%
2/7/2025,"47,550.00","47,300.00","48,100.00","47,000.00",9.45M,1.28%
1/7/2025,"46,950.00","46,800.00","46,950.00","46,450.00",6.10M,0.54%
30/06/2025,"46,700.00","46,600.00","47,050.00","46,350.00",6.02M,0.76%
27/06/2025,"46,350.00","47,050.00","47,100.00","46,350.00",5.47M,-0.96%
26/06/2025,"46,800.00","47,000.00","47,200.00","46,200.00",9.65M,0.00%
25/06/2025,"46,800.00","46,500.00","47,350.00","46,450.00",6.60M,0.65%
24/06/2025,"46,500.00","46,850.00","47,200.00","46,150.00",10.51M,0.11%
23/06/2025,"46,450.00","46,250.00","47,200.00","46,150.00",6.60M,-0.32%
20/06/2025,"46,600.00","47,300.00","47,500.00","46,150.00",10.92M,-1.17%
19/06/2025,"47,150.00","47,200.00","47,450.00","46,700.00",8.49M,-0.11%
18/06/2025,"47,200.00","46,000.00","47,800.00","45,700.00",12.88M,2.61%
17/06/2025,"46,000.00","45,550.00","46,400.00","45,500.00",8.80M,1.10%
16/06/2025,"45,500.00","44,600.00","45,500.00","44,550.00",8.04M,1.34%
13/06/2025,"44,900.00","44,700.00","45,200.00","44,250.00",13.82M,-0.22%
12/6/2025,"45,000.00","43,200.00","45,750.00","43,200.00",20.24M,5.02%
11/6/2025,"42,850.00","43,150.00","43,300.00","42,600.00",6.73M,-0.12%
10/6/2025,"42,900.00","42,100.00","44,000.00","42,000.00",15.15M,2.26%
9/6/2025,"41,950.00","41,950.00","42,200.00","41,600.00",7.23M,0.48%
6/6/2025,"41,750.00","41,300.00","42,450.00","41,100.00",15.99M,0.97%
5/6/2025,"41,350.00","41,000.00","41,900.00","41,000.00",10.65M,0.85%
4/6/2025,"41,000.00","41,700.00","41,750.00","41,000.00",7.72M,-1.44%
3/6/2025,"41,600.00","41,900.00","42,000.00","41,550.00",5.97M,-0.48%
2/6/2025,"41,800.00","40,700.00","42,200.00","40,500.00",11.98M,2.70%
30/05/2025,"40,700.00","41,350.00","41,350.00","40,550.00",8.82M,-1.45%
29/05/2025,"41,300.00","41,150.00","41,400.00","40,750.00",7.36M,0.61%
28/05/2025,"41,050.00","41,700.00","41,700.00","41,050.00",7.82M,-1.08%
27/05/2025,"41,500.00","41,550.00","42,100.00","41,100.00",8.07M,-0.12%
26/05/2025,"41,550.00","41,500.00","41,750.00","40,300.00",10.36M,-0.60%
23/05/2025,"41,800.00","41,100.00","41,800.00","40,800.00",10.65M,1.70%
22/05/2025,"41,100.00","41,750.00","42,000.00","41,000.00",9.15M,-1.67%
21/05/2025,"41,800.00","39,500.00","42,250.00","39,500.00",39.10M,5.82%
20/05/2025,"39,500.00","39,000.00","39,650.00","39,000.00",10.36M,1.28%
19/05/2025,"39,000.00","39,500.00","39,650.00","38,950.00",15.04M,-2.01%
16/05/2025,"39,800.00","40,700.00","40,750.00","39,800.00",8.32M,-2.21%
15/05/2025,"40,700.00","40,200.00","41,100.00","40,050.00",18.30M,1.75%
14/05/2025,"40,000.00","40,200.00","40,300.00","39,700.00",11.86M,-0.25%
13/05/2025,"40,100.00","40,350.00","40,400.00","39,600.00",13.38M,0.25%
12/5/2025,"40,000.00","39,800.00","40,050.00","39,750.00",17.75M,0.63%
9/5/2025,"39,750.00","39,400.00","40,150.00","39,300.00",15.29M,0.63%
8/5/2025,"39,500.00","38,850.00","39,600.00","38,750.00",9.55M,1.67%
7/5/2025,"38,850.00","38,950.00","39,150.00","38,550.00",9.00M,0.00%
6/5/2025,"38,850.00","39,400.00","39,700.00","38,850.00",8.14M,-1.65%
5/5/2025,"39,500.00","39,200.00","39,650.00","38,950.00",5.17M,1.02%
