Day,Close,Open,High,Low,Volume
21/07/2025,49500.00,50700.00,50800.00,49150.00,10530000
18/07/2025,50200.00,48000.00,50500.00,47400.00,26070000
17/07/2025,47700.00,48050.00,48400.00,47600.00,9050000
16/07/2025,47800.00,47800.00,48150.00,47250.00,9530000
15/07/2025,47700.00,48200.00,49200.00,47700.00,9830000
14/07/2025,47950.00,47750.00,48100.00,47200.00,8660000
11/7/2025,47650.00,47800.00,48500.00,47350.00,10780000
10/7/2025,47650.00,47900.00,47900.00,47250.00,8380000
9/7/2025,47800.00,48000.00,48100.00,47350.00,9780000
8/7/2025,47650.00,47700.00,48050.00,47200.00,6020000
7/7/2025,47550.00,47100.00,48500.00,47100.00,8250000
4/7/2025,47050.00,46700.00,47200.00,46200.00,9440000
3/7/2025,46650.00,47400.00,47700.00,46400.00,14990000
2/7/2025,47550.00,47300.00,48100.00,47000.00,9450000
1/7/2025,46950.00,46800.00,46950.00,46450.00,6100000
30/06/2025,46700.00,46600.00,47050.00,46350.00,6020000
27/06/2025,46350.00,47050.00,47100.00,46350.00,5470000
26/06/2025,46800.00,47000.00,47200.00,46200.00,9650000
25/06/2025,46800.00,46500.00,47350.00,46450.00,6600000
24/06/2025,46500.00,46850.00,47200.00,46150.00,10510000
23/06/2025,46450.00,46250.00,47200.00,46150.00,6600000
20/06/2025,46600.00,47300.00,47500.00,46150.00,10920000
19/06/2025,47150.00,47200.00,47450.00,46700.00,8490000
18/06/2025,47200.00,46000.00,47800.00,45700.00,12880000
17/06/2025,46000.00,45550.00,46400.00,45500.00,8800000
16/06/2025,45500.00,44600.00,45500.00,44550.00,8040000
13/06/2025,44900.00,44700.00,45200.00,44250.00,13820000
12/6/2025,45000.00,43200.00,45750.00,43200.00,20240000
11/6/2025,42850.00,43150.00,43300.00,42600.00,6730000
10/6/2025,42900.00,42100.00,44000.00,42000.00,15150000
9/6/2025,41950.00,41950.00,42200.00,41600.00,7230000
6/6/2025,41750.00,41300.00,42450.00,41100.00,15990000
5/6/2025,41350.00,41000.00,41900.00,41000.00,10650000
4/6/2025,41000.00,41700.00,41750.00,41000.00,7720000
3/6/2025,41600.00,41900.00,42000.00,41550.00,5970000
2/6/2025,41800.00,40700.00,42200.00,40500.00,11980000
30/05/2025,40700.00,41350.00,41350.00,40550.00,8820000
29/05/2025,41300.00,41150.00,41400.00,40750.00,7360000
28/05/2025,41050.00,41700.00,41700.00,41050.00,7820000
27/05/2025,41500.00,41550.00,42100.00,41100.00,8070000
26/05/2025,41550.00,41500.00,41750.00,40300.00,10360000
23/05/2025,41800.00,41100.00,41800.00,40800.00,10650000
22/05/2025,41100.00,41750.00,42000.00,41000.00,9150000
21/05/2025,41800.00,39500.00,42250.00,39500.00,39100000
20/05/2025,39500.00,39000.00,39650.00,39000.00,10360000
19/05/2025,39000.00,39500.00,39650.00,38950.00,15040000
16/05/2025,39800.00,40700.00,40750.00,39800.00,8320000
15/05/2025,40700.00,40200.00,41100.00,40050.00,18300000
14/05/2025,40000.00,40200.00,40300.00,39700.00,11860000
13/05/2025,40100.00,40350.00,40400.00,39600.00,13380000
12/5/2025,40000.00,39800.00,40050.00,39750.00,17750000
9/5/2025,39750.00,39400.00,40150.00,39300.00,15290000
8/5/2025,39500.00,38850.00,39600.00,38750.00,9550000
7/5/2025,38850.00,38950.00,39150.00,38550.00,9000000
6/5/2025,38850.00,39400.00,39700.00,38850.00,8140000
5/5/2025,39500.00,39200.00,39650.00,38950.00,5170000
29/04/2025,39100.00,39200.00,39400.00,38900.00,4550000
28/04/2025,39250.00,39250.00,39300.00,38750.00,9040000
25/04/2025,39150.00,40200.00,40500.00,39150.00,23650000
24/04/2025,40200.00,40200.00,40450.00,39500.00,13840000
23/04/2025,40200.00,41050.00,41200.00,40150.00,13620000
22/04/2025,40650.00,40450.00,40650.00,37650.00,32020000
21/04/2025,40450.00,38550.00,41200.00,37850.00,34150000
18/04/2025,38550.00,38600.00,39150.00,38500.00,14440000
17/04/2025,38300.00,38000.00,38500.00,37950.00,12990000
16/04/2025,38150.00,38600.00,38850.00,38050.00,9920000
15/04/2025,38450.00,37450.00,38450.00,37100.00,16840000
14/04/2025,37800.00,37950.00,38500.00,37550.00,12950000
11/4/2025,37850.00,35400.00,37850.00,35400.00,45800000
10/4/2025,35400.00,35400.00,35400.00,35400.00,231100
9/4/2025,33100.00,33000.00,36000.00,32400.00,30890000
8/4/2025,34800.00,36000.00,36900.00,34800.00,50380000
4/4/2025,37400.00,34100.00,37500.00,34100.00,38580000
3/4/2025,36550.00,38100.00,38500.00,36550.00,90990000
2/4/2025,39250.00,39650.00,39750.00,39250.00,8160000
1/4/2025,39700.00,38650.00,39700.00,38300.00,12020000
31/03/2025,38300.00,38000.00,38750.00,37950.00,7860000
28/03/2025,38250.00,38250.00,38700.00,37950.00,6500000
27/03/2025,38250.00,38400.00,38600.00,38150.00,5290000
26/03/2025,38600.00,38650.00,39200.00,38450.00,10410000
25/03/2025,38650.00,38750.00,38800.00,38350.00,5560000
24/03/2025,38600.00,38700.00,38700.00,37900.00,9210000
21/03/2025,38650.00,38950.00,39000.00,38350.00,6530000
20/03/2025,38900.00,38400.00,39000.00,38100.00,8970000
19/03/2025,38400.00,38400.00,38600.00,37900.00,12160000
18/03/2025,38400.00,38950.00,39100.00,38400.00,6630000
17/03/2025,38850.00,39000.00,39200.00,38500.00,5680000
14/03/2025,38850.00,38800.00,39050.00,38350.00,12600000
13/03/2025,39000.00,39650.00,39700.00,38950.00,16110000
12/3/2025,39750.00,40000.00,40050.00,39300.00,10910000
11/3/2025,39900.00,39400.00,39900.00,39400.00,5690000
10/3/2025,40000.00,40000.00,40300.00,39200.00,15040000
7/3/2025,39750.00,39650.00,39900.00,39400.00,11660000
6/3/2025,39500.00,38850.00,39550.00,38750.00,7510000
5/3/2025,38800.00,39300.00,39700.00,38800.00,9610000
4/3/2025,39200.00,38650.00,39400.00,38500.00,9150000
3/3/2025,38850.00,38350.00,38850.00,38350.00,5440000
28/02/2025,38250.00,38250.00,38700.00,38250.00,5600000
27/02/2025,38300.00,38550.00,38650.00,38100.00,12860000
26/02/2025,38550.00,39250.00,39350.00,38550.00,15150000
25/02/2025,39250.00,39500.00,39700.00,39250.00,6150000
24/02/2025,39400.00,38850.00,39600.00,38700.00,7260000
21/02/2025,38850.00,38750.00,38950.00,38300.00,8170000
20/02/2025,38750.00,38900.00,39050.00,38550.00,7040000
19/02/2025,38750.00,38650.00,39100.00,38500.00,7480000
18/02/2025,38650.00,38300.00,39150.00,38150.00,8040000
17/02/2025,38300.00,38250.00,38500.00,38100.00,6090000
14/02/2025,38250.00,39300.00,39300.00,38250.00,8010000
13/02/2025,38800.00,38500.00,38800.00,38400.00,4740000
12/2/2025,38650.00,38500.00,38850.00,38300.00,8550000
11/2/2025,38500.00,38400.00,38700.00,38150.00,5510000
10/2/2025,38450.00,37400.00,38850.00,37200.00,21130000
7/2/2025,37450.00,37350.00,38100.00,37200.00,11950000
6/2/2025,37350.00,37500.00,37850.00,37300.00,8270000
5/2/2025,37250.00,37450.00,37500.00,37000.00,5280000
4/2/2025,37300.00,36700.00,37800.00,36650.00,12650000
3/2/2025,36550.00,36800.00,36900.00,36300.00,9000000
24/01/2025,37000.00,37300.00,37350.00,36900.00,4820000
23/01/2025,37000.00,36650.00,37550.00,36450.00,10160000
22/01/2025,36350.00,36200.00,36650.00,36150.00,7600000
21/01/2025,36050.00,36450.00,36450.00,35900.00,5400000
20/01/2025,35950.00,35850.00,36350.00,35750.00,6360000
17/01/2025,35750.00,35400.00,35800.00,35150.00,5720000
16/01/2025,35450.00,35400.00,35800.00,35050.00,9550000
15/01/2025,35100.00,35400.00,35450.00,35100.00,6980000
14/01/2025,35400.00,35300.00,35400.00,34900.00,4410000
13/01/2025,35300.00,35000.00,35350.00,34700.00,8380000
10/1/2025,35200.00,36400.00,36550.00,35200.00,15560000
9/1/2025,36400.00,36800.00,36900.00,36400.00,5590000
8/1/2025,36700.00,36700.00,36900.00,36500.00,6070000
7/1/2025,36900.00,36450.00,37050.00,36350.00,7380000
6/1/2025,36250.00,36100.00,36600.00,36050.00,9580000
3/1/2025,36100.00,36950.00,36950.00,36100.00,8640000
2/1/2025,37000.00,36950.00,37200.00,36600.00,5960000
31/12/2024,36900.00,37550.00,37550.00,36900.00,9390000
30/12/2024,37850.00,37350.00,37850.00,36800.00,10630000
27/12/2024,37400.00,37200.00,37400.00,36900.00,11150000
26/12/2024,37100.00,36450.00,37400.00,36350.00,16440000
25/12/2024,36250.00,34800.00,36500.00,34750.00,24380000
24/12/2024,34700.00,34550.00,34750.00,34350.00,6480000
23/12/2024,34500.00,34150.00,35000.00,34100.00,10900000
20/12/2024,33850.00,33750.00,33950.00,33500.00,7580000
19/12/2024,33900.00,33800.00,34000.00,33550.00,8680000
18/12/2024,34200.00,34100.00,34200.00,33850.00,4850000
17/12/2024,34100.00,34100.00,34200.00,33850.00,3700000
16/12/2024,34100.00,34000.00,34100.00,33850.00,4500000
13/12/2024,34000.00,33800.00,34200.00,33550.00,7640000
12/12/2024,33800.00,33650.00,34100.00,33650.00,4830000
11/12/2024,33650.00,33800.00,33900.00,33500.00,5180000
10/12/2024,33500.00,34050.00,34200.00,33500.00,5670000
9/12/2024,34000.00,33700.00,34100.00,33600.00,5820000
6/12/2024,33800.00,33900.00,33950.00,33600.00,5020000
5/12/2024,33950.00,32350.00,34000.00,32250.00,13200000
4/12/2024,32400.00,32550.00,32600.00,32150.00,5780000
3/12/2024,32600.00,33150.00,33150.00,32600.00,8720000
2/12/2024,33100.00,33400.00,33400.00,32850.00,5220000
29/11/2024,33300.00,33050.00,33300.00,32800.00,6630000
28/11/2024,33150.00,33200.00,33600.00,32950.00,8500000
27/11/2024,33200.00,33100.00,33300.00,32800.00,5200000
26/11/2024,33200.00,33000.00,33350.00,32950.00,6130000
25/11/2024,32850.00,32700.00,33150.00,32650.00,5080000
22/11/2024,32650.00,33000.00,33150.00,32600.00,5610000
21/11/2024,33050.00,32400.00,33050.00,32250.00,8030000
20/11/2024,32400.00,31700.00,32750.00,31300.00,8580000
19/11/2024,31950.00,32600.00,32600.00,31750.00,7270000
18/11/2024,32600.00,32550.00,32700.00,31900.00,10150000
15/11/2024,32400.00,32400.00,32850.00,32200.00,12220000
14/11/2024,32500.00,33550.00,33550.00,32500.00,9000000
13/11/2024,33400.00,33500.00,33500.00,32400.00,15010000
12/11/2024,33550.00,33800.00,33900.00,33250.00,14610000
11/11/2024,33800.00,35400.00,35550.00,33400.00,32890000
8/11/2024,35500.00,35850.00,36000.00,35000.00,9410000
7/11/2024,35600.00,35600.00,35800.00,35400.00,8230000
6/11/2024,35500.00,35000.00,35500.00,34800.00,6930000
5/11/2024,34850.00,34850.00,35300.00,34850.00,6850000
4/11/2024,34900.00,35000.00,35350.00,34650.00,11340000
1/11/2024,35000.00,35000.00,35250.00,34950.00,9110000
31/10/2024,35200.00,34800.00,35700.00,34600.00,17760000
30/10/2024,34800.00,34200.00,35200.00,33950.00,17100000
29/10/2024,34050.00,33850.00,34300.00,33800.00,10110000
28/10/2024,33750.00,33300.00,34100.00,33300.00,11420000
25/10/2024,33450.00,33650.00,34000.00,33300.00,19670000
24/10/2024,33400.00,35800.00,35800.00,33400.00,32160000
23/10/2024,35800.00,35100.00,35800.00,34650.00,12100000
22/10/2024,35000.00,35250.00,35900.00,34900.00,17680000
21/10/2024,35250.00,35650.00,36100.00,35250.00,13540000
18/10/2024,35550.00,35100.00,36450.00,34700.00,32870000
17/10/2024,34600.00,33700.00,34600.00,33250.00,27210000
16/10/2024,33600.00,33650.00,33750.00,33150.00,18410000
15/10/2024,33700.00,33950.00,34200.00,33600.00,12430000
14/10/2024,33900.00,34100.00,34200.00,33600.00,12930000
11/10/2024,33800.00,33650.00,33800.00,33400.00,7700000
10/10/2024,33600.00,34500.00,34800.00,33600.00,20750000
9/10/2024,34150.00,33700.00,34300.00,33600.00,17690000
8/10/2024,33700.00,33850.00,34200.00,33550.00,13910000
7/10/2024,33800.00,33400.00,34150.00,33350.00,14760000
4/10/2024,33100.00,33700.00,33800.00,33100.00,14350000
3/10/2024,33750.00,33550.00,34200.00,33550.00,19070000
2/10/2024,33550.00,33500.00,33900.00,33400.00,11380000
1/10/2024,33500.00,33400.00,34400.00,33400.00,16260000
30/09/2024,33350.00,33550.00,33650.00,33200.00,12430000
27/09/2024,33600.00,32900.00,33650.00,32800.00,22050000
26/09/2024,32750.00,32800.00,33200.00,32600.00,25840000
25/09/2024,32700.00,32000.00,32700.00,31850.00,28610000
24/09/2024,31850.00,30850.00,32050.00,30800.00,24840000
23/09/2024,30800.00,30900.00,31300.00,30800.00,6040000
20/09/2024,30850.00,30700.00,31300.00,30600.00,23260000
19/09/2024,30500.00,30350.00,30600.00,30300.00,7190000
18/09/2024,30250.00,29850.00,30600.00,29800.00,14760000
17/09/2024,29850.00,29650.00,29850.00,29450.00,5760000
16/09/2024,29550.00,29800.00,29900.00,29550.00,4880000
13/09/2024,29800.00,29700.00,29950.00,29550.00,6160000
12/9/2024,29700.00,29650.00,29800.00,29550.00,5850000
11/9/2024,29600.00,29150.00,29700.00,29100.00,6360000
10/9/2024,29200.00,29700.00,29750.00,29150.00,7770000
9/9/2024,29500.00,29650.00,29750.00,29500.00,4190000
6/9/2024,29900.00,29550.00,29900.00,29500.00,8550000
5/9/2024,29600.00,30100.00,30150.00,29400.00,10460000
4/9/2024,30100.00,30400.00,30400.00,29950.00,9430000
30/08/2024,30550.00,30550.00,30650.00,30350.00,5080000
29/08/2024,30450.00,29650.00,30900.00,29650.00,25190000
28/08/2024,29550.00,29700.00,29850.00,29550.00,4660000
27/08/2024,29600.00,29750.00,29850.00,29600.00,4250000
26/08/2024,29750.00,30050.00,30200.00,29750.00,7700000
