Day,Close,Open,High,Low,Volume
21/07/2025,35450.00,36300.00,36500.00,35350.00,23120000
18/07/2025,36250.00,35150.00,36500.00,35050.00,36570000
17/07/2025,35150.00,35400.00,35600.00,35100.00,16140000
16/07/2025,35250.00,34800.00,35450.00,34600.00,15010000
15/07/2025,34800.00,35150.00,35750.00,34800.00,18010000
14/07/2025,35100.00,34950.00,35100.00,34300.00,18130000
11/7/2025,34950.00,34800.00,35500.00,34800.00,18590000
10/7/2025,34800.00,34900.00,35000.00,34650.00,14460000
9/7/2025,34900.00,35450.00,35600.00,34700.00,31890000
8/7/2025,35300.00,35300.00,35550.00,35100.00,12970000
7/7/2025,35300.00,35200.00,35450.00,35100.00,12240000
4/7/2025,34950.00,34850.00,35000.00,34650.00,12160000
3/7/2025,34850.00,35150.00,35300.00,34800.00,22270000
2/7/2025,35000.00,34500.00,35100.00,34450.00,16950000
1/7/2025,34400.00,34200.00,34550.00,34050.00,12550000
30/06/2025,34200.00,34100.00,34700.00,34000.00,13910000
27/06/2025,33950.00,34100.00,34250.00,33850.00,9840000
26/06/2025,34050.00,34000.00,34450.00,33800.00,12610000
25/06/2025,33800.00,34150.00,34250.00,33800.00,13120000
24/06/2025,34000.00,34050.00,34750.00,33700.00,25170000
23/06/2025,33800.00,33600.00,34000.00,33400.00,18900000
20/06/2025,34000.00,34200.00,34850.00,33900.00,17110000
19/06/2025,34000.00,32800.00,34000.00,32800.00,23280000
18/06/2025,32800.00,32400.00,33350.00,32200.00,17760000
17/06/2025,32400.00,32550.00,32600.00,32050.00,17960000
16/06/2025,32300.00,31000.00,32350.00,30950.00,23150000
13/06/2025,31200.00,30700.00,31500.00,30500.00,27420000
12/6/2025,30950.00,30350.00,31150.00,30250.00,24550000
11/6/2025,30100.00,30350.00,30350.00,29950.00,6090000
10/6/2025,30050.00,29950.00,30500.00,29850.00,15100000
9/6/2025,29750.00,30300.00,30450.00,29750.00,20750000
6/6/2025,30300.00,31000.00,31000.00,30300.00,28350000
5/6/2025,31100.00,31350.00,31600.00,31050.00,15790000
4/6/2025,31350.00,31700.00,31700.00,31200.00,15680000
3/6/2025,31600.00,30900.00,31900.00,30900.00,23860000
2/6/2025,30850.00,30400.00,30950.00,30200.00,13960000
30/05/2025,30450.00,30800.00,30800.00,30450.00,9980000
29/05/2025,30800.00,30500.00,30800.00,30300.00,14710000
28/05/2025,30500.00,30700.00,30800.00,30250.00,18570000
27/05/2025,30600.00,30600.00,31250.00,30350.00,23570000
26/05/2025,30350.00,30150.00,30350.00,29500.00,20230000
23/05/2025,30150.00,30550.00,30600.00,29800.00,17850000
22/05/2025,30500.00,30650.00,31200.00,30300.00,28000000
21/05/2025,30900.00,31000.00,31400.00,30700.00,19490000
20/05/2025,30950.00,29500.00,31100.00,29500.00,38190000
19/05/2025,29500.00,29200.00,29950.00,29100.00,20460000
16/05/2025,29450.00,29900.00,29900.00,29250.00,20030000
15/05/2025,29900.00,29900.00,30200.00,29550.00,17780000
14/05/2025,29850.00,29350.00,30500.00,29300.00,19730000
13/05/2025,29400.00,29500.00,29700.00,29150.00,13210000
12/5/2025,29400.00,27650.00,29450.00,27600.00,46700000
9/5/2025,27600.00,27300.00,28000.00,27250.00,18300000
8/5/2025,27400.00,27000.00,27450.00,26850.00,18380000
7/5/2025,27000.00,26850.00,27100.00,26600.00,13690000
6/5/2025,26850.00,26500.00,27200.00,26400.00,24410000
5/5/2025,26500.00,26650.00,26650.00,26150.00,9050000
29/04/2025,26300.00,26000.00,26600.00,26000.00,18130000
28/04/2025,26000.00,26000.00,26100.00,25800.00,11160000
25/04/2025,25950.00,25950.00,26050.00,25400.00,19490000
24/04/2025,25750.00,26000.00,26100.00,25700.00,8920000
23/04/2025,26100.00,25750.00,26300.00,25150.00,18230000
22/04/2025,25150.00,25250.00,25650.00,23950.00,29520000
21/04/2025,25750.00,26000.00,26300.00,25600.00,12190000
18/04/2025,26000.00,26500.00,26500.00,26000.00,16890000
17/04/2025,26000.00,25600.00,26000.00,25550.00,14260000
16/04/2025,25800.00,26150.00,26450.00,25750.00,18150000
15/04/2025,26000.00,26050.00,26350.00,25800.00,21180000
14/04/2025,26550.00,26600.00,26700.00,26100.00,19910000
11/4/2025,26600.00,26500.00,26600.00,25600.00,47940000
10/4/2025,25250.00,25250.00,25250.00,25250.00,1240000
9/4/2025,23600.00,22300.00,24900.00,22300.00,40790000
8/4/2025,23950.00,25000.00,25000.00,23950.00,33470000
4/4/2025,25700.00,24150.00,25750.00,24150.00,56800000
3/4/2025,25950.00,26950.00,27200.00,25950.00,58890000
2/4/2025,27900.00,28000.00,28150.00,27850.00,6670000
1/4/2025,27950.00,27500.00,28000.00,27400.00,9050000
31/03/2025,27500.00,27400.00,27500.00,27200.00,12980000
28/03/2025,27550.00,27750.00,27800.00,27450.00,12350000
27/03/2025,27750.00,28000.00,28150.00,27750.00,7520000
26/03/2025,28000.00,27900.00,28500.00,27800.00,24090000
25/03/2025,27900.00,28100.00,28200.00,27850.00,8130000
24/03/2025,28000.00,27350.00,28200.00,27200.00,21080000
21/03/2025,27350.00,27350.00,27550.00,27300.00,7450000
20/03/2025,27450.00,27500.00,27550.00,27100.00,14430000
19/03/2025,27250.00,27300.00,27350.00,27150.00,12080000
18/03/2025,27400.00,27500.00,27600.00,27300.00,7950000
17/03/2025,27450.00,27350.00,27450.00,27150.00,11000000
14/03/2025,27300.00,27100.00,27400.00,27100.00,10660000
13/03/2025,27300.00,27800.00,27800.00,27250.00,18990000
12/3/2025,27850.00,28100.00,28250.00,27800.00,10860000
11/3/2025,28000.00,27500.00,28000.00,27450.00,15310000
10/3/2025,27800.00,27750.00,28300.00,27700.00,13910000
7/3/2025,27750.00,27700.00,27900.00,27450.00,14920000
6/3/2025,27700.00,27450.00,27700.00,27350.00,12570000
5/3/2025,27300.00,27500.00,27600.00,27300.00,13270000
4/3/2025,27500.00,26100.00,27550.00,26000.00,40200000
3/3/2025,26100.00,26150.00,26300.00,26050.00,9360000
28/02/2025,26100.00,26250.00,26300.00,26050.00,12220000
27/02/2025,26250.00,26400.00,26400.00,26000.00,12510000
26/02/2025,26300.00,26400.00,26550.00,26300.00,9950000
25/02/2025,26400.00,26600.00,26800.00,26350.00,14500000
24/02/2025,26500.00,26400.00,26650.00,26300.00,11760000
21/02/2025,26500.00,26600.00,26600.00,26400.00,8800000
20/02/2025,26550.00,26200.00,26600.00,26050.00,21180000
19/02/2025,26100.00,25950.00,26150.00,25800.00,12940000
18/02/2025,25850.00,25700.00,26100.00,25650.00,10760000
17/02/2025,25700.00,26000.00,26100.00,25700.00,10970000
14/02/2025,26000.00,26100.00,26200.00,25900.00,10240000
13/02/2025,25950.00,25600.00,26000.00,25550.00,11950000
12/2/2025,25700.00,26000.00,26000.00,25700.00,11520000
11/2/2025,25900.00,26100.00,26150.00,25750.00,15670000
10/2/2025,25750.00,25750.00,26250.00,25450.00,22150000
7/2/2025,25750.00,25450.00,25800.00,25200.00,26590000
6/2/2025,25200.00,24900.00,25500.00,24800.00,37580000
5/2/2025,24700.00,24850.00,24900.00,24550.00,9430000
4/2/2025,24650.00,24350.00,24700.00,24300.00,12470000
3/2/2025,24250.00,24500.00,24700.00,24250.00,10890000
24/01/2025,24750.00,24800.00,24850.00,24650.00,10330000
23/01/2025,24600.00,24350.00,24850.00,24250.00,21070000
22/01/2025,24200.00,24450.00,24450.00,24150.00,7460000
21/01/2025,24200.00,24400.00,24500.00,24150.00,8130000
20/01/2025,24400.00,24400.00,24500.00,24250.00,5180000
17/01/2025,24400.00,23850.00,24400.00,23750.00,10020000
16/01/2025,23850.00,23850.00,23950.00,23600.00,8070000
15/01/2025,23700.00,23800.00,23900.00,23650.00,6720000
14/01/2025,23600.00,23550.00,23750.00,23500.00,4180000
13/01/2025,23800.00,23200.00,23800.00,23150.00,7940000
10/1/2025,23400.00,24000.00,24000.00,23400.00,6230000
9/1/2025,23950.00,24050.00,24050.00,23750.00,4710000
8/1/2025,23950.00,23800.00,24300.00,23650.00,11950000
7/1/2025,23650.00,23900.00,23900.00,23550.00,7620000
6/1/2025,23600.00,23600.00,23850.00,23500.00,8130000
3/1/2025,23600.00,24350.00,24350.00,23600.00,17430000
2/1/2025,24350.00,24650.00,24700.00,24300.00,7830000
31/12/2024,24650.00,24350.00,24650.00,24350.00,9400000
30/12/2024,24400.00,24750.00,24750.00,24350.00,10150000
27/12/2024,24600.00,24500.00,24900.00,24450.00,15400000
26/12/2024,24350.00,24500.00,24550.00,24300.00,5480000
25/12/2024,24450.00,24000.00,24900.00,23950.00,18370000
24/12/2024,24000.00,24050.00,24050.00,23800.00,5180000
23/12/2024,23900.00,24000.00,24050.00,23800.00,3210000
20/12/2024,23800.00,23850.00,23950.00,23800.00,4590000
19/12/2024,23750.00,24000.00,24050.00,23750.00,15030000
18/12/2024,24200.00,24250.00,24300.00,24100.00,5790000
17/12/2024,24200.00,24400.00,24400.00,24150.00,5390000
16/12/2024,24300.00,24300.00,24400.00,24100.00,6360000
13/12/2024,24350.00,24300.00,24550.00,24100.00,11020000
12/12/2024,24250.00,24200.00,24500.00,24150.00,18540000
11/12/2024,24150.00,24050.00,24300.00,24000.00,10340000
10/12/2024,24050.00,24050.00,24200.00,24000.00,7040000
