"tradingdate","open","high","low","close"
2018-02-01,1098.3000,1098.3000,1076.0900,1086.9000
2018-02-02,1087.2400,1090.4000,1075.9000,1090.4000
2018-02-05,1081.7000,1090.4000,1035.0200,1035.0200
2018-02-06,1013.7000,1035.0200,969.0100,1007.7200
2018-02-07,1034.7600,1040.2300,1007.7200,1030.9100
2018-02-08,1024.1300,1031.9800,1013.5600,1013.5600
2018-02-09,983.6000,1013.5600,966.7800,996.7700
2018-02-12,1001.7000,1034.7600,996.7700,1034.7600
2018-02-13,1044.2600,1055.8600,1034.7600,1054.0900
2018-02-21,1064.5500,1081.8200,1054.0900,1075.4700
2018-02-22,1068.8400,1081.8200,1054.0900,1073.9900
2018-02-23,1073.5600,1089.9600,1064.2800,1089.9600
2018-02-26,1101.6600,1113.0100,1089.9600,1099.7100
2018-02-27,1108.8700,1110.1100,1094.1700,1106.0900
2018-02-28,1096.3000,1113.5900,1095.9800,1110.3300
2018-03-01,1106.0300,1116.7900,1098.5100,1105.8400
2018-03-02,1095.3100,1109.5100,1092.1800,1106.9200
2018-03-05,1113.7100,1116.8000,1080.8300,1080.8300
2018-03-06,1091.9800,1103.3100,1075.7800,1103.3100
2018-03-07,1102.8500,1106.8900,1084.5300,1092.1700
2018-03-08,1092.2900,1109.2900,1091.7000,1105.0300
2018-03-09,1107.8300,1117.9000,1102.0700,1106.5400
2018-03-12,1113.4200,1116.1600,1105.2400,1106.9700
2018-03-13,1106.9200,1112.6000,1098.7500,1111.3800
2018-03-14,1112.3700,1121.3100,1111.3800,1115.0000
2018-03-15,1114.6900,1115.0000,1105.2800,1110.2600
2018-03-16,1112.2300,1118.1200,1110.2400,1112.9300
2018-03-19,1122.9800,1134.5200,1112.9300,1130.2600
2018-03-20,1126.6400,1139.2300,1126.6400,1134.1900
2018-03-21,1137.4000,1148.5800,1134.1900,1147.2600
2018-03-22,1150.4400,1159.1000,1144.4900,1144.5800
2018-03-23,1144.5800,1144.5800,1113.7700,1128.9300
2018-03-26,1126.0400,1151.1800,1125.0300,1146.7300
2018-03-27,1160.1000,1161.6000,1146.7300,1150.3000
2018-03-28,1150.3300,1158.4200,1144.8200,1151.0900
2018-03-29,1151.6500,1155.5800,1142.2200,1144.7400
2018-03-30,1146.2300,1154.4600,1136.2800,1153.0800
2018-04-02,1153.1100,1174.0000,1153.0800,1171.2100
2018-04-03,1171.8900,1173.1300,1156.9100,1160.9700
2018-04-04,1161.7900,1176.2200,1160.9700,1165.7500
2018-04-05,1165.7500,1175.2900,1163.9000,1169.1200
2018-04-06,1170.3000,1180.2700,1169.1200,1174.3700
2018-04-09,1175.4500,1181.4300,1169.6000,1177.6800
2018-04-10,1177.6800,1184.4500,1162.1400,1168.0600
2018-04-11,1169.5100,1171.9300,1137.2000,1137.2000
2018-04-12,1136.7600,1143.5000,1121.4900,1143.5000
2018-04-13,1149.8200,1153.7400,1131.6100,1134.2100
2018-04-16,1133.5000,1136.6500,1122.4900,1128.0300
2018-04-17,1128.1100,1136.0100,1119.8200,1130.3200
2018-04-18,1134.4000,1136.0400,1115.7000,1115.7000
2018-04-19,1114.9800,1115.7000,1066.0900,1066.0900
2018-04-20,1067.1100,1089.4500,1047.7600,1089.4500
2018-04-23,1091.1800,1098.1700,1055.3700,1055.3700
2018-04-24,1045.4400,1060.1400,1027.7500,1053.9900
2018-04-26,1053.7500,1055.6400,1011.6000,1018.9700
2018-04-27,1012.8800,1029.3400,1007.3900,1027.9700
2018-05-02,1032.5600,1032.5600,1011.0900,1012.8400
2018-05-03,1007.7600,1012.8400,989.2800,1010.3500
2018-05-04,1018.5400,1022.9800,1007.0400,1010.8900
2018-05-07,1010.8900,1048.0300,1010.8900,1048.0300
2018-05-08,1047.9600,1059.6800,1043.0700,1047.8300
2018-05-09,1047.8300,1057.6800,1037.1900,1046.3900
2018-05-10,1046.3900,1047.4700,1009.7900,1019.6900
2018-05-11,1019.6900,1030.7900,1003.4700,1030.7900
2018-05-14,1030.7900,1051.4500,1030.0700,1051.4500
2018-05-15,1051.4500,1067.2200,1051.4500,1055.4900
2018-05-16,1055.4900,1055.4900,1031.9300,1034.3000
2018-05-17,1034.3000,1035.4500,1007.0900,1007.0900
2018-05-18,1007.0900,1023.1300,989.5100,1022.2100
2018-05-21,1022.2100,1027.6300,997.2100,997.2100
2018-05-22,997.2100,997.2100,947.9900,958.9500
2018-05-23,958.9500,972.9800,945.0500,968.5400
2018-05-24,968.5400,973.9500,951.3400,960.5500
2018-05-25,960.5500,960.5500,936.3200,936.3200
2018-05-28,936.3200,936.3200,894.6700,898.0000
2018-05-29,898.0000,932.7500,881.9100,924.9000
2018-05-30,924.9000,925.1800,902.0000,918.6400
2018-05-31,918.6400,949.9300,914.6700,947.3100
2018-06-01,947.3100,970.6700,947.3100,969.1500
2018-06-04,969.1500,996.8200,969.1500,996.6700
2018-06-05,996.6700,1008.4900,996.6700,1007.3200
2018-06-06,1007.3200,1022.7300,995.5500,1022.7200
2018-06-07,1022.7200,1034.5900,1021.0700,1026.7500
2018-06-08,1026.7500,1028.3000,1017.9000,1025.8700
2018-06-11,1025.8700,1034.8300,1016.5800,1024.8500
2018-06-12,1024.8500,1024.8500,989.5300,1008.7600
2018-06-13,1008.7600,1018.5900,1006.3200,1018.5900
2018-06-14,1018.5900,1022.8000,1004.3100,1004.3100
2018-06-15,1004.3100,1005.6800,994.4900,1005.0400
2018-06-18,1001.7900,1006.5300,970.3500,970.3500
2018-06-19,970.3500,970.3500,919.2600,945.1100
2018-06-20,945.1100,966.8600,937.1600,966.8600
2018-06-21,966.8600,966.9100,950.4600,955.7500
2018-06-22,955.7500,973.0500,945.8500,973.0500
2018-06-25,973.0500,988.6200,973.0500,982.0900
2018-06-26,982.0900,982.0900,959.2900,973.9000
2018-06-27,973.9000,976.6300,961.2900,961.2900
2018-06-28,961.2900,967.0000,943.7100,947.0300
2018-06-29,947.0300,951.3200,940.1500,947.5500
2018-07-02,947.5500,947.5500,917.8000,930.1200
2018-07-03,930.1200,931.0000,891.9700,891.9700
2018-07-04,891.9700,901.1600,880.5300,900.8900
2018-07-05,900.8900,905.4500,875.4200,883.7700
2018-07-06,880.1700,910.0600,870.4900,905.6200
2018-07-09,913.1600,916.6700,897.2200,898.7300
2018-07-10,901.7700,906.2100,897.9600,897.9600
2018-07-11,884.3100,886.9100,871.2900,881.1400
2018-07-12,879.3300,893.0600,870.5900,883.8700
2018-07-13,891.9300,902.1100,887.5800,899.4500
2018-07-16,901.6800,910.7600,897.1600,904.1800
2018-07-17,903.8700,915.5300,892.3900,915.5300
2018-07-18,915.6900,935.4200,915.6900,935.4200
2018-07-19,935.6200,946.3100,934.4100,941.0900
2018-07-20,941.0900,941.4100,926.5000,926.5000
2018-07-23,927.0100,944.9200,926.5600,932.1700
2018-07-24,931.7000,932.5800,916.1900,923.5300
2018-07-25,923.5500,931.4700,915.6800,915.6800
2018-07-26,916.2100,921.3300,907.8400,921.3300
2018-07-27,923.0200,930.1300,918.4800,927.1900
2018-07-30,931.1300,940.2200,931.1300,939.6000
2018-07-31,936.7600,948.1400,934.7500,944.3800
2018-08-01,944.3100,946.8600,935.8500,939.3100
2018-08-02,938.1100,938.5600,924.3800,937.8600
2018-08-03,938.5100,949.8100,938.5100,941.1200
2018-08-06,941.1300,943.9300,935.8800,939.8400
2018-08-07,939.8100,941.5100,933.8400,936.9200
2018-08-08,938.7800,945.9600,938.1800,945.8900
2018-08-09,949.2500,954.1000,942.8400,943.9100
2018-08-10,937.8200,948.3200,936.4400,948.3200
2018-08-13,946.7500,960.0200,942.1700,960.0200
2018-08-14,960.2900,968.3500,959.3200,965.6000
