Date,Instrument,Entry Price,PnL Gross,PnL Net,Bars Held
2020-07-29,TCB,18200.00,100.0,63.5,1
2020-07-29,STB,10200.00,50.0,29.549999999999997,1
2020-09-30,TCB,22900.00,350.0,304.55,1
2020-09-30,STB,13800.00,500.0,472.9,1
2020-09-30,FUESSVFL,8490.00,-7460.0,-7535.38,45
2020-12-03,TCB,24600.00,-500.0,-549.7,1
2020-12-03,STB,15450.00,-100.0,-131.0,1
2020-12-22,TCB,28000.00,-1150.0,-1207.15,3
2020-12-22,STB,16500.00,-500.0,-533.5,3
2021-01-12,TCB,35750.00,750.0,679.25,1
2022-05-13,TCB,50362.50,18550.0,18273.05,255
2022-05-16,STB,27688.89,9699.999999999993,9496.499999999993,331
2022-05-16,FUESSVFL,16084.29,37220.00000000001,36732.420000000006,358
2022-10-12,TCB,25800.00,-1800.0,-1849.8,2
2022-10-12,STB,16200.00,-250.0,-282.15,2
2022-10-12,FUESSVFL,13050.00,1920.0,1869.72,2
2022-11-25,TCB,11000.00,175.0,152.825,1
2022-11-25,STB,17300.00,1200.0,1164.2,1
2023-05-24,TCB,15350.00,150.0,119.45,1
2023-05-24,STB,28200.00,200.0,143.8,1
2023-05-24,FUESSVFL,12305.00,-17980.0,-18096.42,120
2023-07-19,TCB,15950.00,375.0,342.725,1
2023-07-19,STB,28000.00,450.0,393.55,1
2023-07-24,TCB,15925.00,300.0,267.85,1
2023-07-24,STB,27950.00,800.0,743.3,1
2023-10-27,TCB,15400.00,-400.0,-430.4,1
2023-10-27,STB,29000.00,-450.0,-507.55,1
2023-10-27,FUESSVFL,18138.00,1580.0,1218.82,71
2023-11-02,TCB,14100.00,300.0,271.5,2
2023-11-02,STB,27100.00,850.0,794.95,2
2024-09-27,TCB,23750.00,-450.0,-497.95,2
2024-09-27,STB,32000.00,-900.0,-964.9,2
2024-09-27,FUESSVFL,17450.00,-16940.0,-17096.54,226
2024-10-01,TCB,24150.00,-50.0,-98.35,1
2024-10-01,STB,33550.00,150.0,83.05000000000001,1
2024-10-04,TCB,24950.00,600.0,550.7,1
2024-12-31,TCB,24500.00,150.0,101.15,3
